ID_ESTUDIO,CVE_ACUIF,ACUIFERO,NOM_ACUIF,CVE_EDO,NOM_EDO,ESTADO
276,610,0610 LA CENTRAL-PEÑA BLANCA,LA CENTRAL-PEÑA BLANCA,6,COLIMA,06 COLIMA
276,612,0612 MARABASCO,MARABASCO,6,COLIMA,06 COLIMA
276,613,0613 MINATITLÁN,MINATITLÁN,6,COLIMA,06 COLIMA
276,614,0614 VALLE DE IXTLAHUACÁN,VALLE DE IXTLAHUACÁN,6,COLIMA,06 COLIMA
276,615,0615 ALZADA-TEPAMES,ALZADA-TEPAMES,6,COLIMA,06 COLIMA
278,601,0601 COLIMA,COLIMA,6,COLIMA,06 COLIMA
279,601,0601 COLIMA,COLIMA,6,COLIMA,06 COLIMA
279,603,0603 ARMERÍA-TECOMÁN-PERIQUILLOS,ARMERÍA-TECOMÁN-PERIQUILLOS,6,COLIMA,06 COLIMA
279,605,0605 VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,6,COLIMA,06 COLIMA
279,607,0607 EL COLOMO,EL COLOMO,6,COLIMA,06 COLIMA
279,608,0608 JALIPA-TAPEIXTLES,JALIPA-TAPEIXTLES,6,COLIMA,06 COLIMA
279,609,0609 SANTIAGO-SALAGUA,SANTIAGO-SALAGUA,6,COLIMA,06 COLIMA
279,610,0610 LA CENTRAL-PEÑA BLANCA,LA CENTRAL-PEÑA BLANCA,6,COLIMA,06 COLIMA
279,612,0612 MARABASCO,MARABASCO,6,COLIMA,06 COLIMA
279,613,0613 MINATITLÁN,MINATITLÁN,6,COLIMA,06 COLIMA
279,614,0614 VALLE DE IXTLAHUACÁN,VALLE DE IXTLAHUACÁN,6,COLIMA,06 COLIMA
279,615,0615 ALZADA-TEPAMES,ALZADA-TEPAMES,6,COLIMA,06 COLIMA
281,1702,1702 CUAUTLA-YAUTEPEC, CUAUTLA-YAUTEPEC,17,MORELOS,17 MORELOS
282,603,0603 ARMERÍA-TECOMÁN-PERIQUILLOS,ARMERÍA-TECOMÁN-PERIQUILLOS,6,COLIMA,06 COLIMA
284,1508,1508 CUAUTITLÁN-PACHUCA,CUAUTITLÁN-PACHUCA,15,MÉXICO,15 MÉXICO
290,2201,2201 VALLE DE QUERÉTARO,VALLE DE QUERÉTARO,22,QUERÉTARO,22 QUERÉTARO
290,2202,2202 VALLE DE AMAZCALA,VALLE DE AMAZCALA,22,QUERÉTARO,22 QUERÉTARO
290,2203,2203 VALLE DE SAN JUAN DEL RÍO,VALLE DE SAN JUAN DEL RÍO,22,QUERÉTARO,22 QUERÉTARO
290,2204,2204 VALLE DE BUENAVISTA,VALLE DE BUENAVISTA,22,QUERÉTARO,22 QUERÉTARO
290,2205,2205 VALLE DE TEQUISQUIAPAN,VALLE DE TEQUISQUIAPAN,22,QUERÉTARO,22 QUERÉTARO
290,2206,2206 VALLE DE CADEREYTA,VALLE DE CADEREYTA,22,QUERÉTARO,22 QUERÉTARO
290,2207,2207 TOLIMÁN,TOLIMÁN,22,QUERÉTARO,22 QUERÉTARO
290,2208,2208 VALLE DE HUIMILPAN,VALLE DE HUIMILPAN,22,QUERÉTARO,22 QUERÉTARO
290,2209,2209 VALLE DE AMEALCO,VALLE DE AMEALCO,22,QUERÉTARO,22 QUERÉTARO
290,2210,2210 MOCTEZUMA,MOCTEZUMA,22,QUERÉTARO,22 QUERÉTARO
290,2211,2211 TAMPAÓN - ZONA DE SIERRA,TAMPAÓN - ZONA DE SIERRA,22,QUERÉTARO,22 QUERÉTARO
298,709,0709 ACAPETAHUA,ACAPETAHUA,7,CHIAPAS,07 CHIAPAS
298,711,0711 ARRIAGA-PIJIJIAPAN,ARRIAGA-PIJIJIAPAN,7,CHIAPAS,07 CHIAPAS
299,710,0710 SOCONUSCO,SOCONUSCO,7,CHIAPAS,07 CHIAPAS
300,2025,2025 VALLES CENTRALES,VALLES CENTRALES,20,OAXACA,20 OAXACA
305,711,0711 ARRIAGA-PIJIJIAPAN,ARRIAGA-PIJIJIAPAN,7,CHIAPAS,07 CHIAPAS
306,708,0708 LA TRINITARIA,LA TRINITARIA,7,CHIAPAS,07 CHIAPAS
307,710,0710 SOCONUSCO,SOCONUSCO,7,CHIAPAS,07 CHIAPAS
309,703,0703 TUXTLA,TUXTLA,7,CHIAPAS,07 CHIAPAS
309,705,0705 CINTALAPA,CINTALAPA,7,CHIAPAS,07 CHIAPAS
309,707,0707 COMITÁN,COMITÁN,7,CHIAPAS,07 CHIAPAS
309,2008,2008 OSTUTA,OSTUTA,20,OAXACA,20 OAXACA
309,2016,2016 NOCHIXTLÁN,NOCHIXTLÁN,20,OAXACA,20 OAXACA
310,709,0709 ACAPETAHUA,ACAPETAHUA,7,CHIAPAS,07 CHIAPAS
312,708,0708 LA TRINITARIA,LA TRINITARIA,7,CHIAPAS,07 CHIAPAS
314,704,0704 OCOZOCOAUTLA,OCOZOCOAUTLA,7,CHIAPAS,07 CHIAPAS
314,705,0705 CINTALAPA,CINTALAPA,7,CHIAPAS,07 CHIAPAS
315,701,0701 PALENQUE,PALENQUE,7,CHIAPAS,07 CHIAPAS
315,702,0702 REFORMA,REFORMA,7,CHIAPAS,07 CHIAPAS
315,703,0703 TUXTLA,TUXTLA,7,CHIAPAS,07 CHIAPAS
315,704,0704 OCOZOCOAUTLA,OCOZOCOAUTLA,7,CHIAPAS,07 CHIAPAS
315,705,0705 CINTALAPA,CINTALAPA,7,CHIAPAS,07 CHIAPAS
315,706,0706 FRAYLESCA,FRAYLESCA,7,CHIAPAS,07 CHIAPAS
315,707,0707 COMITÁN,COMITÁN,7,CHIAPAS,07 CHIAPAS
315,708,0708 LA TRINITARIA,LA TRINITARIA,7,CHIAPAS,07 CHIAPAS
315,709,0709 ACAPETAHUA,ACAPETAHUA,7,CHIAPAS,07 CHIAPAS
315,710,0710 SOCONUSCO,SOCONUSCO,7,CHIAPAS,07 CHIAPAS
315,711,0711 ARRIAGA-PIJIJIAPAN,ARRIAGA-PIJIJIAPAN,7,CHIAPAS,07 CHIAPAS
315,712,0712 SAN CRISTÓBAL DE LAS CASAS,SAN CRISTÓBAL DE LAS CASAS,7,CHIAPAS,07 CHIAPAS
315,713,"0713 MARQUÉS DE COMILLAS
",MARQUÉS DE COMILLAS,7,CHIAPAS,07 CHIAPAS
315,714,0714 CHICOMUSELO,CHICOMUSELO,7,CHIAPAS,07 CHIAPAS
315,715,0715 OCOSINGO,OCOSINGO,7,CHIAPAS,07 CHIAPAS
316,701,0701 PALENQUE,PALENQUE,7,CHIAPAS,07 CHIAPAS
316,702,0702 REFORMA,REFORMA,7,CHIAPAS,07 CHIAPAS
316,703,0703 TUXTLA,TUXTLA,7,CHIAPAS,07 CHIAPAS
316,704,0704 OCOZOCOAUTLA,OCOZOCOAUTLA,7,CHIAPAS,07 CHIAPAS
316,705,0705 CINTALAPA,CINTALAPA,7,CHIAPAS,07 CHIAPAS
316,706,0706 FRAYLESCA,FRAYLESCA,7,CHIAPAS,07 CHIAPAS
316,707,0707 COMITÁN,COMITÁN,7,CHIAPAS,07 CHIAPAS
316,708,0708 LA TRINITARIA,LA TRINITARIA,7,CHIAPAS,07 CHIAPAS
316,709,0709 ACAPETAHUA,ACAPETAHUA,7,CHIAPAS,07 CHIAPAS
316,710,0710 SOCONUSCO,SOCONUSCO,7,CHIAPAS,07 CHIAPAS
316,711,0711 ARRIAGA-PIJIJIAPAN,ARRIAGA-PIJIJIAPAN,7,CHIAPAS,07 CHIAPAS
